id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-150666,2025-02-07,000001,Vente,520000,37,,RUE DU BOCAGE,1010,33200,33063,Bordeaux,33,,,33063000ON0089,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.598927,44.852994
2025-150666,2025-02-07,000001,Vente,520000,37,,RUE DU BOCAGE,1010,33200,33063,Bordeaux,33,,,33063000ON0089,,,25,,,,,,,,,,1,2,Appartement,130,4,,,,,,-0.598927,44.852994
2025-150670,2025-02-14,000001,Vente,174800,16,,RUE LEYTEIRE,5495,33000,33063,Bordeaux,33,,,33063000DP0048,,,2,,6,47.84,,,,,,,2,2,Appartement,50,3,,,,,,-0.569358,44.834685
2025-150670,2025-02-14,000001,Vente,174800,16,,RUE LEYTEIRE,5495,33000,33063,Bordeaux,33,,,33063000DP0048,,,2,,6,47.84,,,,,,,2,3,Dépendance,,0,,,,,,-0.569358,44.834685
2025-150672,2025-02-21,000001,Vente,292000,8,,RUE EMILE FOURCAND,3155,33000,33063,Bordeaux,33,,,33063000KT0140,,,13,,6,69.33,,,,,,,2,2,Appartement,69,3,,,,,,-0.582315,44.846665
2025-150672,2025-02-21,000001,Vente,292000,8,,RUE EMILE FOURCAND,3155,33000,33063,Bordeaux,33,,,33063000KT0140,,,13,,6,69.33,,,,,,,2,3,Dépendance,,0,,,,,,-0.582315,44.846665
2025-150676,2025-02-10,000001,Vente,46250,57,,RUE CHEVALIER,2050,33000,33063,Bordeaux,33,,,33063000MC0089,,,16,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.595902,44.843127
2025-150677,2025-03-03,000001,Vente,610000,101,,RUE FRANCOIS DE SOURDIS,3685,33000,33063,Bordeaux,33,,,33063000EX0021,,,10,,,,,,,,,,1,2,Appartement,132,9,,,,,,-0.587514,44.830748
2025-150678,2025-03-03,000001,Vente,161000,21,,RUE TIFFONET,8940,33800,33063,Bordeaux,33,,,33063000DC0307,,,44,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.571006,44.829966
2025-150678,2025-03-03,000001,Vente,161000,21,,RUE TIFFONET,8940,33800,33063,Bordeaux,33,,,33063000DC0307,,,23,,,,,,,,,,1,2,Appartement,44,3,,,,,,-0.571006,44.829966
2025-150679,2025-02-12,000001,Vente,400000,20,,RUE DES BOUVIERS,1185,33800,33063,Bordeaux,33,,,33063000DN0561,,,,,,,,,,,,,0,,,,,S,sols,,,74,-0.565363,44.832721
2025-150680,2025-02-28,000001,Vente,464400,29,,RUE MURAT,6635,33200,33063,Bordeaux,33,,,33063000VP0075,,,,,,,,,,,,,0,1,Maison,120,5,S,sols,,,355,-0.627036,44.844528
2025-150681,2025-02-14,000001,Vente,252000,,,RUE BOURBON,1145,33300,33063,Bordeaux,33,,,33063000RY0029,,,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.558348,44.861262
2025-150681,2025-02-14,000001,Vente,252000,35,,CRS EDOUARD VAILLANT,3090,33300,33063,Bordeaux,33,,,33063000RY0029,,,319,,,,,,,,,,1,2,Appartement,60,3,,,,,,-0.558348,44.861262
2025-150687,2025-02-07,000001,Vente,150000,29,,CRS DE QUEBEC,7711,33300,33063,Bordeaux,33,,,33063000TH0021,,,102,43.28,,,,,,,,,1,2,Appartement,43,2,,,,,,-0.571364,44.878681
2025-150687,2025-02-07,000001,Vente,150000,13,,AV ANDRE REINSON,0304,33300,33063,Bordeaux,33,,,33063000TH0021,,,2021,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.571364,44.878681
2025-150688,2025-02-11,000001,Vente en l'état futur d'achèvement,123960,,,AV MARCEL DASSAULT,5931,33300,33063,Bordeaux,33,,,33063000TC0234,,,59,,,,,,,,,,1,,,,,,,,,,-0.569839,44.876569
